1:1	Das|the Hohelied|song Salomos|Solomon
1:2	Er|he küsse|kiss mich|me mit|with dem|the Kusse|kisses seines|his Mundes|mouth denn|for deine|your Liebe|beloved ist|is lieblicher|good als|when Wein|wine
1:3	Es|it riechen|savour deine|your Salben|oil köstlich|good dein|your Name|name ist|is eine|oil ausgeschüttete|empty Salbe|oil darum|therefore lieben|LOVE dich|you die|the Jungfrauen|virgin
1:4	Zieh|draw mich|me dir|you nach|after so|then laufen|RUN wir|run Der|the König|royal führte|brought mich|me in|in seine|his Kammern|chamber Wir|we freuen|REJOICE uns|rejoice und|and sind|are fröhlich|merry über|over dir|rejoice wir|beloved gedenken|remember an|to deine|your Liebe|beloved mehr|more denn|for an|to den|the Wein|wine Die|the Frommen|equity lieben|LOVE dich|you
1:5	Ich|I bin|am schwarz|black aber|but gar|very lieblich|comely ihr|you Töchter|daughter Jerusalems|Jerusalem wie|as die|the Hütten|tents Kedars|Kedar wie|as die|the Teppiche|curtain Salomos|Solomon
1:6	Seht|behold mich|me nicht|not an|see daß|that ich|I so|then schwarz|black bin|am denn|for die|the Sonne|sun hat|has mich|me so|then verbrannt|see Meiner|my Mutter|mother Kinder|CHILDREN zürnen|WERE-ANGRY mit|with mir|burn Sie|they haben|have mich|put zur|to-the Hüterin|keep der|the Weinberge|vineyard gesetzt|put aber|but meinen|my eigenen|own Weinberg|vineyard habe|have ich|I nicht|not behütet|keep
1:7	Sage|say mir|me an|tell du|you den|the meine|my Seele|soul liebt|LOVES wo|where du|you weidest|feed wo|where du|you ruhest|lay im|in-the Mittage|noon daß|what ich|I nicht|not hin|away und|and her|here gehen|go müsse|cover bei|with den|the Herden|flock deiner|your Gesellen|companions
1:8	Weiß|know du|you es|it nicht|know du|you schönste|fair unter|under den|the Weibern|wives so|then gehe|go hinaus|bring auf|on die|the Fußtapfen|heel der|the Schafe|flock und|and weide|feed deine|your Zicklein|kid bei|tabernacle den|the Hirtenhäusern|feed
1:9	Ich|I vergleiche|like dich|horse meine|my Freundin|love meinem|my Gespann|horse an|to den|the Wagen|chariot Pharaos|Pharaoh
1:10	Deine|your Backen|cheek stehen|standing lieblich|becometh in|in den|the Kettchen|turn und|and dein|your Hals|neck in|in den|the Schnüren|CHAINS
1:11	Wir|we wollen|will dir|you goldene|gold Kettchen|turn machen|make mit|with silbernen|silver Pünktlein|studs
